OSC  0,   280070760,   280105016,   280047529,   279987548,   280055918 
OSC  1,   274904217,   274915057,   274924431,   274876501,   274897887 
OSC  2,   299808919,   299873080,   299753085,   299764996,   299737873 
OSC  3,   284840709,   284854982,   284857827,   284851841,   284804856 
OSC  4,   279369651,   279414954,   279434505,   279415368,   279357839 
OSC  5,   276124847,   276173302,   276158381,   276135752,   276117447 
OSC  6,   299749525,   299755547,   299775742,   299764557,   299762441 
OSC  7,   283469136,   283547045,   283507591,   283570958,   283578976 
OSC  8,   281172141,   281268373,   281224019,   281227763,   281228897 
OSC  9,   280647381,   280710316,   280603922,   280671321,   280684410 
OSC 10,   300013532,   299938179,   299974089,   299865135,   299926556 
OSC 11,   285668785,   285635934,   285609536,   285678988,   285655984 
OSC 12,   280022111,   280047055,   280036408,   280043939,   280066548 
OSC 13,   282473155,   282534453,   282474736,   282569063,   282508667 
OSC 14,   287659381,   287672234,   287678499,   287665537,   287673939 
OSC 15,   295906256,   295887224,   295897430,   295910918,   295953139 
